longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink,articleType,citedByCount,retracted,retractionNote
Academic Search Ultimate,asn,193183712,领导对员工--生成式人工智能建议的反应机制： 基于社会比较视角多层次研究.,"The involvement of Generation artificial intelligence (GenAI) in organizational decision-making has become an irresistible trend. However, academic research on the adoption of GenAI advice remains insufficient. In the process of leadership decision-making, how do leaders compare and adopt employee advice, GenAI advice, and employee-GenAI team advice? What differences exist in leaders' perceptions? Grounded in social comparison theory, this study explores how leaders' differing perceptions shape their adoption of advice from employees, GenAI, and human-GenAI teams through five sub-studies: 1) How to define the GenAI advice-taking? 2) What are the differences in leaders' adoption of employee advice versus GenAI advice? 3) How do leaders differ in their adoption of employee-GenAI team advice? 4) How to compare the effect of employee-GenAI advice? 5) How do advice barriers in employee-GenAI comparisons affect advice quality, and to what extent can intervention strategies mitigate these effects? Ultimately, this study systematically constructs a multi-level model of leaders' adoption of employee-GenAI advice, providing a new perspective for interdisciplinary theoretical development and offering practical guidance for organizations to optimize human-AI collaborative decision-making and mitigate technological risks.",20260401,"翼, 韩 ; 马朝翊 ; 宗树伟",Article,Academic Journal,2026,true,Advances in Psychological Science,Generative artificial intelligence ; Human-artificial intelligence interaction ; Artificial intelligence ; Decision making ; Adoption of ideas ; Social comparison,JOUR,,,1671-3710,,,,,chi,Editorial Office of Advances in Psychological Science,646,626,21,34,4,10.3724/SP.J.1042.2026.0626,,MSEN,,https://research.ebsco.com/plink/6458f3bf-895f-3677-a138-03fbd664b80e,,,,
Academic Search Ultimate,asn,192247745,"A Strengths, Weaknesses, Opportunities, and Threats Analysis of Generative Artificial Intelligence in Aphasia Management With Proposed Ethical Guidelines.","Purpose: Generative artificial intelligence (GenAI) is rapidly emerging as a transformative technology in aphasia management, necessitating judicious and structured evaluation. The purpose of this clinical focus article is to apply a Strengths, Weaknesses, Opportunities, and Threats (SWOT) analysis framework to systematically evaluate the potential role and implications of GenAI tools in aphasia management and to offer preliminary ethical considerations and recommendations for their responsible use in clinical contexts. Method: This clinical focus article offers initial SWOT analysis of GenAI tools by members of a GenAI in aphasia management working group. The clinical domains within the analysis include screening and assessment, intervention, augmentative and alternative communication and digital accessibility, counseling and care partner education, and clinical documentation. Results: The SWOT analysis identified GenAI's potential for enhancing screening and assessment, personalizing treatment, supporting care partners, and streamlining clinical documentation. The analysis also highlighted issues related to problematic outputs; digital literacy requirements; vulnerability to deepfakes, phishing, and medical misinformation; economic and accessibility constraints; and concerns over autonomy and privacy. Preliminary ethical analysis was subsequently performed to establish a basis for ethical uses of GenAI in aphasia management, despite the dynamic nature of the GenAI landscape. Conclusions: GenAI presents valuable opportunities to advance aphasia management, but substantial weaknesses and threats underscore the need for cautious integration into clinical practice. Proactive collaboration among clinicians, people with aphasia, institutions, and policymakers is necessary to help maximize clinical benefits while preserving essential human elements in aphasia care and addressing concerns related to patient privacy and accessibility.",20260301,"Bailey, Dallin J. ; Anjum, Javad ; Park, Hyejin ; Carpenter, Erin ; Mamlekar, Chitrali ; Kurland, Jacquie",Article,Academic Journal,Mar2026,true,American Journal of Speech-Language Pathology,"Generative artificial intelligence ; Medical protocols ; Documentation ; Health services accessibility ; Medical technology ; Professional ethics ; Cultural competence ; Responsibility ; Aphasia ; Decision making in clinical medicine ; Speech-language pathology ; Educational technology ; Communication ; Communication devices for people with disabilities ; Patient participation ; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ; Surgical Appliance and Supplies Manufacturing ; Surgical and Medical Instrument Manufacturing",JOUR,,,1058-0360,,,,,eng,American Speech-Language-Hearing Association,421,402,20,35,2,10.1044/2025_AJSLP-25-00262,,5E7,,https://research.ebsco.com/plink/6084b63e-b3d0-385e-aaa3-80a6dd2cc0ee,,,,
Academic Search Ultimate,asn,193402124,Toward life with a 19–amino acid alphabet through generative artificial intelligence design.,"Because all known living organisms are made from at least 20 canonical amino acids, the feasibility of life using a more simplified alphabet remains unclear. In this work, we leveraged computational design and synthetic biology to explore building a cell from a 19–amino acid alphabet. Initial analyses suggested that isoleucine (Ile) may be dispensable, which we confirmed by directly replacing Ile residues in essential proteins in Escherichia coli. Critically, protein language models and structure-based models were necessary to redesign functional Ile-less proteins in most cases. We systematically replaced all 382 Ile residues from the ribosome and combined 21 redesigned subunits at a native genomic locus to produce a viable, evolutionarily stable cell. This work provides a roadmap to create the first 19–amino acid organism since early evolution. Editor's summary: All natural organisms use the same 20 amino acids as building blocks for proteins, but it may be possible to create a synthetic cell using a slightly smaller alphabet. Liu et al. used computational protein design and synthetic biology to remove all isoleucine residues from the ribosomal proteins in a bacterium (see the Perspective by Sanfiorenzo and Wang). AI-based protein models were critical to the success of this effort, highlighting the power of generative design. This work provides a path toward building genetically recoded cells with simplified components and sheds light on the biochemical constraints that may have shaped early evolution. —Di Jiang INTRODUCTION: Twenty canonical amino acids are used to build proteins in the cell, a conserved property universal to all life on Earth today. Although posttranslational modifications and noncanonical amino acid expansions can increase the repertoire of building blocks, no known free-living organism uses an alphabet of fewer than 20 amino acids. This raises a fundamental question: Can a viable cell be constructed with a reduced amino acid alphabet? Creation of such a cell can elucidate key biochemical constraints that shaped early evolution and enable synthetic life made from simpler components. RATIONALE: Multiple lines of evidence support the possibility that life could be made with a more simplified set of amino acids. Several canonical amino acids have similar biochemical properties and may be functionally redundant. For instance, global evolutionary sequence analysis suggests that isoleucine (Ile) is among the least-conserved amino acids and is often substituted with the comparable valine residue. Computational protein modeling also indicates that as few as 9 to 12 amino acids could, in principle, encode all protein folds. Moreover, recent advances in generative protein design have produced functional proteins that deviate substantially from natural sequences. Together, these observations suggest that proteins could be redesigned with a reduced amino acid alphabet with the aid of generative artificial intelligence (AI) and that redundant branched-chained amino acids, such as Ile, may be suitable candidates for elimination. RESULTS: To explore our thesis, we first substituted all Ile residues with valine or leucine in 39 essential or highly expressed proteins in Escherichia coli and showed that only ~43% of these variants remained functional in vivo, highlighting that a simple global amino acid substitution scheme is insufficient. State-of-the-art structure prediction and protein design models were then used to propose alternative Ile substitutions. Both sequence-based language models (ESM2 and MSA Transformer) and structure-based models (ProteinMPNN and AlphaFold2) were deployed to generate de novo Ile-free variants that preserved structure and function. We focused on redesigning all 52 essential E. coli ribosomal proteins that make up one of the most important and conserved protein complexes in the cell. Through an iterative design-build-test (DBT) framework, we demonstrated the successful redesign and replacement of all Ile in each ribosomal protein (with additional necessary compensatory mutations) while maintaining relative cellular fitness at >90% compared with wild type. Twenty-one Ile-free ribosomal subunits were combined into a single-genomic locus in E. coli (Ec19) that supported cellular growth. This Ec19 strain remained genomically stable for more than 450 generations of continuous passage in the laboratory, and no Ile reversion mutations were identified by whole-genome sequencing. CONCLUSION: This work establishes a foundational roadmap to build the first free-living cell with a 19–amino acid alphabet since the last universal common ancestor. By combining generative models with precision genome engineering, we demonstrated the complete replacement of all Ile residues from the E. coli ribosome, marking an important milestone toward this goal. Advances in genome-scale modeling and DNA synthesis will further enable high-throughput exploration of synthetic genomes with swapped amino acids that exhibit new cellular properties and push the boundaries of engineered life. Simplifying the canonical amino acid alphabet with generative AI.: An illustration of building a 19–amino acid (AA) alphabet E. coli (Ec19) by Ile removal (top) through a roadmap of DBT framework (right). Sequence-based language models and structure-based models were used to generate the Ec19 designs (bottom left). The ribosome complex was redesigned to replace all 382 Ile resides, and a viable Ec19 cell with a genomic locus encoding 21 Ile-free ribosomal subunits was generated (bottom center). I-to-V, isoleucine-to-valine; PDB, Protein Data Bank.",20260430,"Liu, Liyuan ; Rochereau, Charlotte ; Kozlov, Simon ; Urtecho, Guillaume ; Liu, Xiaonan ; Zhao, Jiahui ; Wang, Jasmine ; Huang, Yiming ; Qu, Yiming ; Zhang, Zetian ; Blazejewski, Tomasz ; Swartz, Avi ; Ovchinnikov, Sergey ; Wang, Harris H.",Article,Academic Journal,4/30/2026,true,Science,Amino acids ; Generative artificial intelligence ; Escherichia coli ; Biological evolution ; Synthetic biology ; Protein engineering ; Ribosomes ; Genome editing ; Research and Development in Biotechnology,JOUR,,,0036-8075,,,,,eng,American Association for the Advancement of Science,15,1,15,392,6797,10.1126/science.aeb5171,,NVJ3,,https://research.ebsco.com/plink/aad8e7ec-8391-3c78-8cc8-fa90d76fb995,,,,
Academic Search Ultimate,asn,193649182,What are medical students really doing with GenAI in their self-study? An epistemic entanglement framework approach.,"AbstractIntroductionMethodsResultsDiscussionThe rise of GenAI in health professions education has led to debates over its promise to support student learning and potential to encourage cognitive offloading. However, there is little empirical work examining how medical students actually use GenAI in their everyday self-study practices. To address this gap, this study draws on the Epistemic Entanglement Framework (EEF) to examine how knowledge is co-constructed between undergraduate medical students and GenAI chatbots.We adopted a qualitative study design. Participants were clinical year medical students who commenced their medical training prior to the widespread availability of GenAI tools. Data were collected through semi-structured interviews, supplemented by participants’ actual chat interactions with GenAI tools. Interviews and screen-based interactions were video-recorded. Data were analysed thematically, with iterative coding to identify patterns across participants’ accounts. Coding analysis was abductive and informed by the EEF.Twenty clinical year medical students participated in the study. Three key themes emerged. First, GenAI use was embedded within a learning network where students sometimes interacted with it as a human actor. Second, knowledge was co-constructed between and cognition was distributed across the learning network with varying levels of epistemic co-agency. Third, participants highlighted GenAI’s unreliability as a learning resource especially in relation to accuracy and contextual understanding.Medical students engaged with GenAI in complex and sophisticated ways within a dynamic learning network. The integration of GenAI into this network both gave rise to new learning practices, such as working with information that had been pre-processed by GenAI, while leading to the demise of others, such as synthesizing information from multiple sources. Thus, the GenAI usage has reshaped self-study behaviours by redirecting and redistributing cognitive effort, thereby shifting patterns of epistemic entanglement.",20260510,"Ng, Olivia ; Lim, Sean ; Goh, Nicholas ; Ho, Brandon ; Cleland, Jennifer ; Samuel, Anita ; Han, Siew Ping",Article,Academic Journal,May2026,true,Medical Teacher,"Medical students ; Generative artificial intelligence ; Collaborative learning ; Cognitive load ; Chatbots ; Health occupations schools ; Autodidacticism ; Colleges, Universities, and Professional Schools",JOUR,,,0142-159X,,,,,eng,Taylor & Francis Ltd,9,1,9,,,10.1080/0142159x.2026.2667280,,MCH,,https://research.ebsco.com/plink/97d64da0-8058-30e8-b7c6-af84ca351943,,,,
Academic Search Ultimate,asn,192657742,Perceptions of Generative Artificial Intelligence Among Biomedical Academics with Career Trajectories in Healthcare: A Mixed Methods Study.,"Generative Artificial Intelligence (GenAI) has been a viable technology for decades, yet widespread adoption in healthcare and academic settings has remained limited to research. One possible explanation for this is limited understanding about the beliefs around GenAI use amongst faculty and students training in biomedical disciplines that frequently lead to non-physician healthcare careers, including physical therapy (PT), occupational therapy (OT), allied health (AH), and biomedical engineering (BME). Furthermore, no known studies exist assessing differences that may exist across those disciplines. Given the significant number of professionals in those disciplines and the outsized impact they have on the healthcare system, investigating their beliefs around GenAI use is vital before widespread adoption. Accordingly, we investigated the perceptions of GenAI among students and faculty in the aforementioned fields that frequently lead to careers in healthcare. We found that knowledge of GenAI significantly influences comfort with its use completing college coursework including whether respondents believed it contributed to the process of completing that coursework and whether use of GenAI enhances learning. Interestingly, however, there were no statistically significant differences in perceptions of GenAI across disciplines, roles, or institution sizes. Qualitative findings revealed concerns about plagiarism, decline of critical thinking skills, and ethical challenges, while also recognizing GenAI's potential to enhance learning efficiency and idea generation. Critically, the study results emphasize the need for proper training and guidelines to ensure GenAI is integrated responsibly into healthcare-related education.",20260301,"Chapman, Ryan M. ; Chapman, Carrie E. ; Johnson, Heather E. ; Chapman, David D.",Article,Academic Journal,Mar2026,true,AI,Generative artificial intelligence ; Allied health education ; Ethical problems ; Sociology ; Education ethics ; Mixed methods research ; Effective teaching ; Allied health personnel ; All Other Miscellaneous Schools and Instruction ; Educational Support Services ; Administration of Education Programs,JOUR,,,2673-2688,,,,,eng,MDPI,,106,,7,3,10.3390/ai7030106,,MSNV,,https://research.ebsco.com/plink/fce1193e-4036-326f-bccc-6577b103d08e,,,,
Academic Search Ultimate,asn,192699196,A Conversation About Generative Artificial Intelligence.,"This is a wide-ranging conversation on the ways that generative artificial intelligence (gen AI) is changing history and historical disciplines. Topics covered include the impact of gen AI on historical practice, its effects on archival research, the ethics of its use, strategies for combating biases, and inclusivity. The participants are Canadian scholars chosen based on their prior publications about AI and history. They represent a range of disciplines and career stages and work in both French and English.",20260301,"Alaoui, Siham ; Chokly, Kit ; Ciufo, Carly ; Robichaud, Léon ; Stark, Luke ; Turkel, William J.",Conference Paper/Materials,Academic Journal,Mar2026,,Canadian Historical Review,Generative artificial intelligence ; Artificial intelligence & ethics ; Algorithmic bias ; Scholars ; Digital technology ; Oral history ; Public history,JOUR,,,0008-3755,,,,,eng,University of Toronto Press,150,113,38,107,1,10.3138/chr-2025-0024,,CHR,,https://research.ebsco.com/plink/a35ecb13-1d6c-3cdb-aaf7-e738d437e4d9,,,,
Academic Search Ultimate,asn,192729714,Can GenAI complement supervisor support in shaping postgraduates' research experiences? A mixed-methods approach.,"The rise of Generative Artificial Intelligence (GenAI) in postgraduate education has garnered increasing attention, yet it has also sparked debates regarding its capacity to complement human supervisors. Despite the ongoing discussion, the complex interplay of supervisor support and GenAI support on research experiences of postgraduate students remains under-explored. This study aimed to address the gap by employing an explanatory sequential mixed methods design, with the quantitative study conducted with a sample of 1,515 postgraduate students in China to examine the effects of supervisor support and GenAI support on their research experiences. The qualitative study involving interviews with 20 postgraduate students unraveled the nuanced mechanisms underlying the quantitative results. The findings revealed a complementary alliance between supervisor support and GenAI support in fostering postgraduate students' positive research experiences, and the synergistic integration of supervisor-GenAI maximized their complementary strengths, enhancing the depth and quality of support while preserving the irreplaceable value of human interactions rather than diminishing the role of human supervisors. This study contributed to envisioning an educational environment where GenAI and supervisors coexist harmoniously to enrich postgraduate students' research experiences.",20260401,"Huang, Yating ; Li, Sihui ; Liu, Zihan",Article,Academic Journal,Apr2026,true,Studies in Higher Education,Generative artificial intelligence ; Mentors ; Mixed methods research ; Graduate students ; Social interaction ; China,JOUR,,,0307-5079,,,,,eng,Taylor & Francis Ltd,854,836,19,51,4,10.1080/03075079.2025.2495710,,SHE,,https://research.ebsco.com/plink/33761806-2ee4-302f-a207-bedb8bf0204a,,,,
Academic Search Ultimate,asn,184798066,GenAI and Academic Integrity: Redefining the Role of Writing Centres in a Shifting Digital Landscape.,"This article investigates the transformative effects of generative artificial intelligence (GenAI) on Academic Integrity and the role of writing centres (WCs) in post-secondary institutions. By exploring the scientific, philosophical, and educational perspectives on the current development of GenAI in academia, the article highlights the opportunities for WC administrators and staff to embrace change. Suggestions include becoming familiar with new discourse communities, cultivating new relationships with colleagues, redefining WC pedagogy and culture, incorporating new digital literacies into training, engaging in the ongoing development and update of academic integrity policies, and developing new support networks across WCs. The objective of this article is to offer insights into how WCs can adapt to this new landscape and ensure their continued relevance within the larger educational ecosystem.",20250401,"Moussu, Lucie",Article,Academic Journal,Apr2025,true,Journal of Scholarly Publishing,"Generative artificial intelligence ; Education ethics ; Digital literacy ; Social networks ; Postsecondary education ; Integrity ; All Other Miscellaneous Schools and Instruction ; Educational Support Services ; Administration of Education Programs ; Colleges, Universities, and Professional Schools ; Junior Colleges ; Business and Secretarial Schools ; Other Technical and Trade Schools ; Apprenticeship Training ; Cosmetology and Barber Schools ; Other Individual and Family Services",JOUR,,,1198-9742,,,,,eng,University of Toronto Press,480,463,18,56,2,10.3138/jsp-2024-1122,,2UY,,https://research.ebsco.com/plink/4c8806e0-29da-32e7-a829-5d1e748729d8,,,,
Academic Search Ultimate,asn,192591268,A Systematic Literature Review on the Pedagogical Implications and Impact of GenAI on Students' Critical Thinking.,"Critical Thinking (CT) is recognized as a foundational competency for professional readiness, innovation, and ethical reasoning in higher education, enabling students to analyze information, evaluate evidence, and make reasoned decisions in complex environments. The rapid integration of Generative Artificial Intelligence (GenAI) tools, such as large language models, presents new opportunities and risks for CT development. This study conducts a systematic literature review to synthesize empirical evidence on the pedagogical implications and cognitive impact of GenAI on students' CT. Following PRISMA guidelines, and search terms around GenAI Tools, Critical Thinking And Higher Education, on five major education research databases—Web of Science; Scopus; EBSCOhost (Education Source, ERIC, and APA PsycInfo); and Compendex and Inspec (Elsevier)—63 empirical studies published between January 2023 and April 2025 were analyzed across higher education contexts, disciplines, and intervention designs. Results indicate that GenAI offers notable cognitive affordances, including scaffolding reflective reasoning, promoting self-regulation, and facilitating iterative dialogue and argument evaluation. Pedagogical strategies clustered into four primary integration typologies: AI-based feedback prompts, dialogue simulation and reflection, AI-supported peer review, and critical engagement with AI-generated content. Nearly half of the studies reported statistically significant CT improvements, particularly when GenAI use was guided by structured prompts, reflective activities, and performance-based assessment. However, multiple risks persist, including cognitive offloading, uncritical acceptance of AI outputs, and diminished intellectual autonomy, especially in unguided or surface-level usage. This review highlights the need for intentional pedagogical design, validated CT assessment tools, and longitudinal studies to ensure GenAI acts as a catalyst rather than a substitute for human reasoning. By identifying effective integration strategies and outlining potential pitfalls, this study provides evidence-informed guidance for educators and institutions aiming to responsibly leverage GenAI to strengthen students' CT skills.",20260301,"Balart, Trini ; Díaz, Brayan ; Shryock, Kristi",Article,Academic Journal,Mar2026,true,Algorithms,Generative artificial intelligence ; Critical thinking ; Educational technology ; Psychological factors ; Teaching methods ; Student engagement ; Higher education ; Artificial intelligence,JOUR,,,1999-4893,,,,,eng,MDPI,,179,,19,3,10.3390/a19030179,,B03W,,https://research.ebsco.com/plink/ee1e2e5e-2f6c-35d7-83ae-d249a1b7c933,,,,
Academic Search Ultimate,asn,187259280,Scholarly Publishing in the Era of Open Access and Generative Artificial Intelligence.,"Tensions around open-access initiatives and the democratization of scholarly content are intensifying, particularly with the rise of generative artificial intelligence (AI). Barriers to open-access publishing are becoming more pronounced across regions, especially in the global South, but there are actionable strategies to reduce these challenges and enhance accessibility. Generative AI plays a dual role in scholarly publishing, boosting content creation and quality assurance while also raising concerns about workforce reductions. Collaboration among publishers, researchers, libraries, technologists, and policymakers is essential to addressing critical issues like research integrity, funding shortages, intellectual property conflicts, and growing inequities in publishing. Despite these challenges, the digital landscape offers new opportunities for building a more equitable and sustainable knowledge ecosystem, pushing for re-evaluating current practices to shape the future of publishing and innovation.",20250701,"Effoduh, Okechukwu",Article,Academic Journal,Jul2025,true,Journal of Scholarly Publishing,Generative artificial intelligence ; Scholarly publishing ; Open access publishing ; Research integrity ; Book Publishers ; Developing countries,JOUR,,,1198-9742,,,,,eng,University of Toronto Press,553,529,25,56,3,10.3138/jsp-2024-0102,,2UY,,https://research.ebsco.com/plink/73d5410b-8b9b-38d8-92eb-79f69f5c320d,,,,
